street,formula,pot_type,board_family,mv_cat,dv_cat,bet_size,n,n_huge,mean_loss,huge_loss,acc%,modal_fold%,modal_call%,modal_raise%
flop,v9b,MTT100,dynamic,second_pair,gutshot,—,60,10,0.116,0.643,81.7,18.3,81.7,0.0
flop,v8a,MTT100,dynamic_2tone,ace_high,oesd,—,57,9,0.114,0.617,75.4,19.3,75.4,5.3
flop,v9b,MTT100,dynamic_2tone,ace_high,oesd,—,57,9,0.114,0.617,75.4,19.3,75.4,5.3
flop,v8a,MTT100,dynamic_2tone,third_pair,gutshot,—,63,25,0.224,0.507,68.3,30.2,68.3,1.6
flop,v9b,MTT100,dynamic_2tone,third_pair,gutshot,—,63,25,0.224,0.507,68.3,30.2,68.3,1.6
flop,v9b,MTT100,dry_high,king_high,twocards_bdfd,—,124,40,0.334,0.39,21.0,21.0,71.0,8.1
flop,v9b,MTT100,dry_high,king_high,onecard_bdfd,—,204,58,0.269,0.354,42.6,42.6,53.4,3.9
flop,v8a,MTT25,dry_high,third_pair,no_draw,—,1251,8,1.778,2.091,0.0,0.0,93.4,6.6
flop,v8a,MTT25,dynamic_2tone,third_pair,no_draw,—,152,64,0.655,1.465,50.0,50.0,50.0,0.0
flop,v8a,MTT25,dry_high,low_pair,no_draw,—,90,33,0.99,1.284,10.0,10.0,90.0,0.0
flop,v9b,MTT25,dynamic_2tone,third_pair,no_draw,—,152,64,0.97,1.116,0.0,50.0,50.0,0.0
flop,v8a,MTT25,low_dry,no_made_hand,onecard_bdfd,—,252,80,0.481,1.085,17.5,64.3,17.5,18.3
flop,v9b,MTT25,low_dry,no_made_hand,onecard_bdfd,—,252,80,0.481,1.085,17.5,64.3,17.5,18.3
flop,v8a,MTT25,low_dry,no_made_hand,twocards_bdfd,—,168,34,0.306,0.929,27.4,47.0,27.4,25.6
flop,v9b,MTT25,low_dry,no_made_hand,twocards_bdfd,—,168,34,0.306,0.929,27.4,47.0,27.4,25.6
flop,v8a,MTT25,dry_high,no_made_hand,onecard_bdfd,—,1056,66,0.096,0.901,48.8,29.0,48.8,22.3
flop,v9b,MTT25,dry_high,no_made_hand,onecard_bdfd,—,1056,66,0.096,0.901,48.8,29.0,48.8,22.3
flop,v8a,MTT25,dynamic,low_pair,no_draw,—,72,30,0.342,0.822,58.3,41.7,58.3,0.0
flop,v9b,MTT25,dynamic,low_pair,no_draw,—,72,30,0.342,0.822,58.3,41.7,58.3,0.0
flop,v8a,MTT25,dry_high,no_made_hand,twocards_bdfd,—,704,23,0.054,0.74,54.0,13.1,54.0,33.0
flop,v9b,MTT25,dry_high,no_made_hand,twocards_bdfd,—,704,23,0.054,0.74,54.0,13.1,54.0,33.0
flop,v8a,MTT25,dynamic,top_pair,oesd,—,60,12,0.285,0.735,18.3,0.0,18.3,81.7
flop,v9b,MTT25,dynamic,top_pair,oesd,—,60,12,0.285,0.735,18.3,0.0,18.3,81.7
flop,v8a,MTT25,low_dry,king_high,onecard_bdfd,—,96,9,0.113,0.671,52.1,31.2,52.1,16.7
flop,v9b,MTT25,low_dry,king_high,onecard_bdfd,—,96,9,0.113,0.671,52.1,31.2,52.1,16.7
flop,v8a,MTT25,low_dry,top_pair,no_draw,—,360,36,0.145,0.639,23.9,0.0,23.9,76.1
flop,v9b,MTT25,low_dry,top_pair,no_draw,—,360,36,0.145,0.639,23.9,0.0,23.9,76.1
flop,v8a,MTT25,dynamic_2tone,top_pair,oesd,—,60,11,0.225,0.611,20.0,0.0,20.0,80.0
flop,v9b,MTT25,dynamic_2tone,top_pair,oesd,—,60,11,0.225,0.611,20.0,0.0,20.0,80.0
