board_family,board_label,board_str,hero_polarization,hero_pos,hero_strong_pct,hero_total_combos,hero_weak_pct,n_combos,opp_draw_pct,opp_nut_class,opp_nut_eq_median,opp_nut_pct,opp_polarization,opp_pos,opp_strong_pct,opp_total_combos,opp_weak_pct,source,spot_file,target
dynamic,dynamic_T98,Ts9d8c,0.62,BTN,0.16,476.5,0.46,,0.263,straight,0.881,0.051,0.599,BB,0.105,551.3,0.494,R3_ip_post_check,r3_dynamic_T98_ip_post_check.json,flop_init_ip
dynamic,dynamic_T98,Ts9d8c,0.599,BB,0.106,551.6,0.494,,0.256,straight,0.937,0.05,0.62,BTN,0.16,476.5,0.46,R3_open,r3_dynamic_T98_open.json,flop_init_oop
low_dry,low_dry_752,7s5d2c,0.836,BTN,0.103,515.8,0.733,,0.021,set,0.944,0.015,0.723,BB,0.044,577.5,0.678,R3_ip_post_check,r3_low_dry_752_ip_post_check.json,flop_init_ip
low_dry,low_dry_752,7s5d2c,0.723,BB,0.044,577.7,0.678,,0.012,set,0.939,0.017,0.836,BTN,0.103,515.8,0.733,R3_open,r3_low_dry_752_open.json,flop_init_oop
low_dry,low_dry_853,8s5d3h,0.78,BTN,0.089,510.1,0.69,,0.039,set,0.942,0.015,0.657,BB,0.035,567.8,0.622,R3_ip_post_check,r3_low_dry_853_ip_post_check.json,flop_init_ip
low_dry,low_dry_853,8s5d3h,0.657,BB,0.035,568.0,0.622,,0.013,set,0.936,0.018,0.78,BTN,0.089,510.1,0.69,R3_open,r3_low_dry_853_open.json,flop_init_oop
low_dry,low_dry_863,8d6c3s,0.774,BTN,0.093,507.8,0.681,,0.046,set,0.943,0.016,0.651,BB,0.035,566.7,0.616,R3_ip_post_check,r3_low_dry_863_ip_post_check.json,flop_init_ip
low_dry,low_dry_863,8d6c3s,0.651,BB,0.035,566.9,0.616,,0.024,set,0.936,0.018,0.774,BTN,0.093,507.8,0.681,R3_open,r3_low_dry_863_open.json,flop_init_oop
low_dry,low_dry_964,9c6d4s,0.688,BTN,0.085,495.5,0.603,,0.039,set,0.945,0.015,0.637,BB,0.028,564.7,0.609,R3_ip_post_check,r3_low_dry_964_ip_post_check.json,flop_init_ip
low_dry,low_dry_964,9c6d4s,0.637,BB,0.028,565.0,0.609,,0.016,set,0.935,0.018,0.688,BTN,0.085,495.5,0.603,R3_open,r3_low_dry_964_open.json,flop_init_oop
monotone,monotone_A72d,Ad7d2d,0.593,BTN,0.107,486.1,0.485,,0.259,flush,0.922,0.067,0.648,BB,0.103,566.9,0.546,R3_ip_post_check,r3_monotone_A72d_ip_post_check.json,flop_init_ip
monotone,monotone_A72d,Ad7d2d,0.648,BB,0.103,567.6,0.546,,0.264,flush,0.957,0.064,0.593,BTN,0.107,486.1,0.485,R3_open,r3_monotone_A72d_open.json,flop_init_oop
monotone,monotone_J73s,Js7s3s,0.693,BTN,0.123,501.8,0.57,,0.274,flush,0.919,0.063,0.659,BB,0.085,576.0,0.574,R3_ip_post_check,r3_monotone_J73s_ip_post_check.json,flop_init_ip
monotone,monotone_J73s,Js7s3s,0.659,BB,0.085,576.3,0.574,,0.285,flush,0.958,0.064,0.693,BTN,0.123,501.8,0.57,R3_open,r3_monotone_J73s_open.json,flop_init_oop
monotone,monotone_Q85h,Qh8h5h,0.605,BTN,0.114,489.4,0.491,,0.265,flush,0.916,0.069,0.605,BB,0.103,561.2,0.502,R3_ip_post_check,r3_monotone_Q85h_ip_post_check.json,flop_init_ip
monotone,monotone_Q85h,Qh8h5h,0.605,BB,0.104,561.8,0.502,,0.281,flush,0.952,0.057,0.605,BTN,0.114,489.4,0.491,R3_open,r3_monotone_Q85h_open.json,flop_init_oop
monotone,monotone_T84s,Ts8s4s,0.656,BTN,0.144,491.5,0.511,,0.293,flush,0.917,0.064,0.621,BB,0.1,560.5,0.52,R3_ip_post_check,r3_monotone_T84s_ip_post_check.json,flop_init_ip
monotone,monotone_T84s,Ts8s4s,0.621,BB,0.101,563.2,0.521,,0.301,flush,0.953,0.065,0.656,BTN,0.144,491.5,0.511,R3_open,r3_monotone_T84s_open.json,flop_init_oop
paired,paired_773,7h7s3c,0.937,BTN,0.136,514.3,0.801,,0.0,fullhouse,0.951,0.006,0.911,BB,0.094,493.9,0.817,R3_ip_post_check,r3_paired_773_ip_post_check.json,flop_init_ip
paired,paired_773,7h7s3c,0.899,BB,0.102,574.6,0.796,,0.0,fullhouse,0.955,0.006,0.937,BTN,0.136,514.3,0.801,R3_open,r3_paired_773_open.json,flop_init_oop
paired,paired_994,9c9s4d,0.876,BTN,0.169,485.1,0.707,,0.0,fullhouse,0.94,0.007,0.858,BB,0.107,557.5,0.751,R3_ip_post_check,r3_paired_994_ip_post_check.json,flop_init_ip
paired,paired_994,9c9s4d,0.858,BB,0.107,559.4,0.751,,0.0,fullhouse,0.952,0.006,0.876,BTN,0.169,485.1,0.707,R3_open,r3_paired_994_open.json,flop_init_oop
paired,paired_KK2,KsKd2c,0.869,BTN,0.144,479.1,0.725,,0.0,fullhouse,0.932,0.007,0.877,BB,0.103,567.8,0.774,R3_ip_post_check,r3_paired_KK2_ip_post_check.json,flop_init_ip
paired,paired_KK2,KsKd2c,0.877,BB,0.103,568.2,0.774,,0.0,fullhouse,0.948,0.008,0.869,BTN,0.144,479.1,0.725,R3_open,r3_paired_KK2_open.json,flop_init_oop
paired,paired_TT5,TsTd5c,0.849,BTN,0.16,481.6,0.688,,0.0,fullhouse,0.941,0.007,0.826,BB,0.098,560.5,0.728,R3_ip_post_check,r3_paired_TT5_ip_post_check.json,flop_init_ip
paired,paired_TT5,TsTd5c,0.826,BB,0.098,561.1,0.728,,0.0,fullhouse,0.955,0.006,0.849,BTN,0.16,481.6,0.688,R3_open,r3_paired_TT5_open.json,flop_init_oop
