probe_id,purpose,flop,scenario_type,category,boundary_type,n_drill_cards,action_type,action_name,betsize,betsize_by_pot,total_frequency,total_ev,total_combos,is_allin
bound_ks8d2c_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,ks8d2c,SRP_flop+3BP+4BP,dry_high_kicker,dry_high boundary,0,CHECK,CHECK,0,,0.9498,0.0,1116.921778678894,False
bound_ks8d2c_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,ks8d2c,SRP_flop+3BP+4BP,dry_high_kicker,dry_high boundary,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0502,0.0,59.07818627357483,False
bound_ks9d4c_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,ks9d4c,SRP_flop+3BP+4BP,dry_high_mid,dry_high boundary,0,CHECK,CHECK,0,,0.9586,0.0,1127.3257083892822,False
bound_ks9d4c_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,ks9d4c,SRP_flop+3BP+4BP,dry_high_mid,dry_high boundary,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0414,0.0,48.67426970601082,False
bound_ks9d4c_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,ks9d4c,SRP_flop+3BP+4BP,dry_high_mid,dry_high boundary,0,CHECK,CHECK,0,,0.9586,0.0,1127.3257083892822,False
bound_ks9d4c_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,ks9d4c,SRP_flop+3BP+4BP,dry_high_mid,dry_high boundary,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0414,0.0,48.67426970601082,False
bound_kskd4c_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,kskd4c,SRP_flop+3BP+4BP,paired_high,paired boundary,0,CHECK,CHECK,0,,0.9767,0.0,1148.6435794830322,False
bound_kskd4c_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,kskd4c,SRP_flop+3BP+4BP,paired_high,paired boundary,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0233,0.0,27.356394231319427,False
bound_kskd4c_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,kskd4c,SRP_flop+3BP+4BP,paired_high,paired boundary,0,CHECK,CHECK,0,,0.9767,0.0,1148.6435794830322,False
bound_kskd4c_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,kskd4c,SRP_flop+3BP+4BP,paired_high,paired boundary,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0233,0.0,27.356394231319427,False
