purpose,role,flop,probe_file,preflop,flop_actions_pre,action_type,action_name,betsize,betsize_by_pot,is_allin,total_frequency,total_ev,total_combos
boundary_or_bb_oop,BB,astd4c,bound_astd4c_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0379,0.0,44.617022931575775
boundary_or_bb_oop,BB,astd4c,bound_astd4c_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9621,0.0,1131.3829507827759
boundary_or_bb_oop,BB,astd4c,bound_astd4c_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0379,0.0,44.617022931575775
boundary_or_bb_oop,BB,astd9c,bound_astd9c_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9604,0.0,1129.467182636261
boundary_or_bb_oop,BB,astd9c,bound_astd9c_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0396,0.0,46.53279983997345
boundary_or_bb_oop,BB,astd9c,bound_astd9c_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9604,0.0,1129.467182636261
boundary_or_bb_oop,BB,astd9c,bound_astd9c_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0396,0.0,46.53279983997345
boundary_or_bb_oop,BB,jstc4s,bound_jstc4s_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9953,0.0,1170.5286598205566
boundary_or_bb_oop,BB,jstc4s,bound_jstc4s_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0047,0.0,5.47135441750288
boundary_or_bb_oop,BB,jstc4s,bound_jstc4s_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9953,0.0,1170.5286598205566
boundary_or_bb_oop,BB,jstc4s,bound_jstc4s_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0047,0.0,5.47135441750288
boundary_or_bb_oop,BB,jsts4h,bound_jsts4h_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9924,0.0,1167.0581130981445
boundary_or_bb_oop,BB,jsts4h,bound_jsts4h_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0076,0.0,8.941881973296404
boundary_or_bb_oop,BB,jsts4h,bound_jsts4h_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9924,0.0,1167.0581130981445
boundary_or_bb_oop,BB,jsts4h,bound_jsts4h_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0076,0.0,8.941881973296404
boundary_or_bb_oop,BB,jsts4s,bound_jsts4s_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9917,0.0,1166.195803642273
