equity_bucket,mv_simple,board_family,dv_cat,median,iqr,count,pred_band,confidence
good_hands,top_pair,dry_high,oesd,0.0004,0.00265,95,almost_check,HIGH
good_hands,top_pair,dry_high,onecard_bdfd,0.20205,0.36567500000000003,40,lean_check,LOW
good_hands,top_pair,dry_high,twocards_bdfd,0.3386,0.51965,350,lean_check,LOW
good_hands,top_pair,dynamic,gutshot,0.36555,0.71025,850,lean_check,LOW
good_hands,top_pair,dynamic,no_draw,0.4597,0.85805,2407,pure_mix,LOW
good_hands,top_pair,dynamic,oesd,0.1471,0.7051000000000001,517,almost_check,LOW
good_hands,top_pair,dynamic,twocards_bdfd,0.7677499999999999,0.42852500000000004,334,lean_bet,LOW
good_hands,top_pair,dynamic_2tone,gutshot,0.5331,0.18010000000000004,69,pure_mix,MED
good_hands,top_pair,dynamic_2tone,no_draw,0.3395,0.17959999999999998,74,lean_check,MED
good_hands,top_pair,dynamic_2tone,oesd,0.4371,0.3411,69,pure_mix,LOW
good_hands,top_pair,low_dry,no_draw,0.3577,0.395525,154,lean_check,LOW
good_hands,top_pair,low_dry,twocards_bdfd,0.6813,0.49770000000000003,49,lean_bet,LOW
good_hands,top_pair,monotone,flush_draw,0.0028,0.26285000000000003,262,almost_check,MED
good_hands,top_pair,monotone,no_draw,0.2567,0.4275,1067,lean_check,LOW
good_hands,weak_pair,dry_high,flush_draw,0.0003,0.0024000000000000002,41,almost_check,HIGH
good_hands,weak_pair,dry_high,no_draw,0.1958,0.5661,1653,almost_check,LOW
good_hands,weak_pair,dry_high,onecard_bdfd,0.5663,0.7315999999999999,75,pure_mix,LOW
good_hands,weak_pair,dynamic,gutshot,0.0069,0.61245,279,almost_check,LOW
good_hands,weak_pair,dynamic,no_draw,0.2642,0.229775,30,lean_check,MED
good_hands,weak_pair,dynamic,oesd,0.0009,0.2326,239,almost_check,MED
good_hands,weak_pair,low_dry,no_draw,0.14200000000000002,0.405675,94,almost_check,LOW
good_hands,weak_pair,monotone,flush_draw,0.234,0.3329,119,lean_check,LOW
good_hands,weak_pair,paired,no_draw,0.8316,0.4583499999999999,375,almost_bet,LOW
trash_hands,2P_plus,dry_high,no_draw,0.82665,0.7748250000000001,48,almost_bet,LOW
trash_hands,2P_plus,dynamic,no_draw,0.0001,0.0,52,almost_check,HIGH
trash_hands,ace_high,dry_high,gutshot,0.0016,0.600425,1322,almost_check,LOW
trash_hands,ace_high,dry_high,no_draw,0.0464,0.5655,9372,almost_check,LOW
trash_hands,ace_high,dry_high,oesd,0.0009,0.0006749999999999999,94,almost_check,HIGH
trash_hands,ace_high,dry_high,onecard_bdfd,0.557,0.5744,45,pure_mix,LOW
trash_hands,ace_high,dry_high,twocards_bdfd,0.2272,0.476125,716,lean_check,LOW
trash_hands,ace_high,dynamic,gutshot,0.07765,0.59195,1924,almost_check,LOW
trash_hands,ace_high,dynamic,no_draw,0.001,0.22705,5447,almost_check,MED
trash_hands,ace_high,dynamic,oesd,0.1056,0.7711,641,almost_check,LOW
trash_hands,ace_high,dynamic,twocards_bdfd,0.19724999999999998,0.5097999999999999,436,almost_check,LOW
trash_hands,ace_high,dynamic_2tone,gutshot,0.4372,0.4599,81,pure_mix,LOW
trash_hands,ace_high,dynamic_2tone,no_draw,0.2028,0.43884999999999996,198,lean_check,LOW
trash_hands,ace_high,dynamic_2tone,onecard_bdfd,0.7403,0.3208249999999999,120,lean_bet,LOW
trash_hands,ace_high,low_dry,no_draw,0.0984,0.2674,565,almost_check,MED
trash_hands,ace_high,low_dry,twocards_bdfd,0.0912,0.2794,153,almost_check,MED
trash_hands,ace_high,monotone,flush_draw,0.0007,0.218725,108,almost_check,MED
trash_hands,ace_high,monotone,gutshot,0.1875,0.4838,237,almost_check,LOW
trash_hands,ace_high,monotone,no_draw,0.0012,0.3556,1180,almost_check,LOW
trash_hands,ace_high,paired,gutshot,0.0,0.0003,62,almost_check,HIGH
trash_hands,ace_high,paired,no_draw,0.0025,0.97755,1074,almost_check,LOW
trash_hands,ace_high,paired,twocards_bdfd,0.99485,0.9019999999999999,96,almost_bet,LOW
trash_hands,king_high,dry_high,gutshot,0.0063,0.184675,398,almost_check,MED
trash_hands,king_high,dry_high,no_draw,0.0761,0.5041000000000001,3550,almost_check,LOW
trash_hands,king_high,dry_high,oesd,0.002,0.0006000000000000001,216,almost_check,HIGH
trash_hands,king_high,dry_high,twocards_bdfd,0.1703,0.494875,646,almost_check,LOW
trash_hands,king_high,dynamic,gutshot,0.0144,0.70755,1967,almost_check,LOW
trash_hands,king_high,dynamic,no_draw,0.02,0.55345,4119,almost_check,LOW
trash_hands,king_high,dynamic,oesd,0.1251,0.8371,933,almost_check,LOW
trash_hands,king_high,dynamic,twocards_bdfd,0.215,0.4909,394,lean_check,LOW
trash_hands,king_high,dynamic_2tone,gutshot,0.5167999999999999,0.3330000000000001,54,pure_mix,LOW
trash_hands,king_high,dynamic_2tone,no_draw,0.2243,0.38939999999999997,30,lean_check,LOW
trash_hands,king_high,low_dry,no_draw,0.0799,0.41182500000000005,478,almost_check,LOW
trash_hands,king_high,low_dry,twocards_bdfd,0.07035,0.43435,164,almost_check,LOW
trash_hands,king_high,monotone,flush_draw,0.0006,0.0021,126,almost_check,HIGH
trash_hands,king_high,monotone,gutshot,0.0029,0.4304,165,almost_check,LOW
trash_hands,king_high,monotone,no_draw,0.00045,0.36760000000000004,486,almost_check,LOW
trash_hands,king_high,paired,no_draw,0.0918,0.56145,907,almost_check,LOW
trash_hands,king_high,paired,twocards_bdfd,0.4366,0.3681,87,pure_mix,LOW
