equity_bucket,mv_simple,board_family,dv_cat,median,count,q25,q75,iqr,pred_3,confidence
trash_hands,ace_high,low_dry,twocards_bdfd,0.0912,153,0.0341,0.3135,0.2794,LOW,MED
trash_hands,ace_high,monotone,flush_draw,0.0007,108,0.0001,0.218825,0.218725,LOW,MED
trash_hands,ace_high,monotone,gutshot,0.1875,237,0.0002,0.484,0.4838,LOW,LOW
trash_hands,ace_high,monotone,no_draw,0.0012,1180,0.0002,0.3558,0.3556,LOW,LOW
trash_hands,ace_high,paired,gutshot,0.0,62,0.0,0.0003,0.0003,LOW,HIGH
trash_hands,ace_high,paired,no_draw,0.0025,1074,0.0001,0.97765,0.97755,LOW,LOW
trash_hands,ace_high,paired,twocards_bdfd,0.99485,96,0.0974,0.9994,0.9019999999999999,HIGH,LOW
trash_hands,king_high,dry_high,gutshot,0.0063,398,0.0007,0.185375,0.184675,LOW,MED
trash_hands,king_high,dry_high,no_draw,0.0761,3550,0.0013,0.5054000000000001,0.5041000000000001,LOW,LOW
trash_hands,king_high,dry_high,oesd,0.002,216,0.0017,0.0023,0.0006000000000000001,LOW,HIGH
trash_hands,king_high,dry_high,twocards_bdfd,0.1703,646,0.003225,0.4981,0.494875,LOW,LOW
trash_hands,king_high,dynamic,gutshot,0.0144,1967,0.0004,0.70795,0.70755,LOW,LOW
trash_hands,king_high,dynamic,no_draw,0.02,4119,0.0004,0.55385,0.55345,LOW,LOW
trash_hands,king_high,dynamic,oesd,0.1251,933,0.0008,0.8379,0.8371,LOW,LOW
trash_hands,king_high,dynamic,twocards_bdfd,0.215,394,0.002025,0.492925,0.4909,LOW,LOW
trash_hands,king_high,dynamic_2tone,gutshot,0.5167999999999999,54,0.280875,0.6138750000000001,0.3330000000000001,MIX,LOW
trash_hands,king_high,dynamic_2tone,no_draw,0.2243,30,0.025575,0.414975,0.38939999999999997,LOW,LOW
trash_hands,king_high,low_dry,no_draw,0.0799,478,0.01565,0.42747500000000005,0.41182500000000005,LOW,LOW
trash_hands,king_high,low_dry,twocards_bdfd,0.07035,164,0.003375,0.43772500000000003,0.43435,LOW,LOW
trash_hands,king_high,monotone,flush_draw,0.0006,126,0.0002,0.0023,0.0021,LOW,HIGH
trash_hands,king_high,monotone,gutshot,0.0029,165,0.0002,0.4306,0.4304,LOW,LOW
trash_hands,king_high,monotone,no_draw,0.00045,486,0.0002,0.3678,0.36760000000000004,LOW,LOW
trash_hands,king_high,paired,no_draw,0.0918,907,0.0004,0.56185,0.56145,LOW,LOW
trash_hands,king_high,paired,twocards_bdfd,0.4366,87,0.258,0.6261,0.3681,MIX,LOW
trash_hands,no_made,dry_high,combo_draw,0.00065,60,0.0001,0.11225,0.11215,LOW,MED
trash_hands,no_made,dry_high,flush_draw,0.0073,364,0.0001,0.403975,0.403875,LOW,LOW
trash_hands,no_made,dry_high,gutshot,0.008150000000000001,3804,0.0007,0.485425,0.484725,LOW,LOW
trash_hands,no_made,dry_high,no_draw,0.0114,21290,0.0004,0.559125,0.558725,LOW,LOW
trash_hands,no_made,dry_high,oesd,0.017750000000000002,742,0.0004,0.427025,0.426625,LOW,LOW
trash_hands,no_made,dry_high,twocards_bdfd,0.3941,1620,0.026725,0.7224,0.695675,MIX,LOW
trash_hands,no_made,dynamic,flush_draw,0.0031,59,0.0002,0.95505,0.95485,LOW,LOW
trash_hands,no_made,dynamic,gutshot,0.0125,2915,0.0004,0.55615,0.5557500000000001,LOW,LOW
trash_hands,no_made,dynamic,no_draw,0.02785,4790,0.0004,0.7411749999999999,0.740775,LOW,LOW
trash_hands,no_made,dynamic,oesd,0.0209,2013,0.0009,0.6076,0.6067,LOW,LOW
trash_hands,no_made,dynamic,twocards_bdfd,0.5738000000000001,470,0.080825,0.85075,0.769925,MIX,LOW
trash_hands,no_made,dynamic_2tone,gutshot,0.5798,37,0.3437,0.7119,0.36819999999999997,MIX,LOW
trash_hands,no_made,low_dry,gutshot,0.1997,137,0.1502,0.2881,0.13790000000000002,LOW,MED
trash_hands,no_made,low_dry,no_draw,0.18080000000000002,302,0.080125,0.539125,0.45899999999999996,LOW,LOW
trash_hands,no_made,low_dry,twocards_bdfd,0.08065,116,0.0065,0.498625,0.492125,LOW,LOW
trash_hands,no_made,monotone,combo_draw,0.0002,165,0.0002,0.0019,0.0017,LOW,HIGH
trash_hands,no_made,monotone,flush_draw,0.001,279,0.0003,0.0034,0.0031,LOW,HIGH
trash_hands,no_made,monotone,gutshot,0.0006,532,0.0002,0.388,0.38780000000000003,LOW,LOW
trash_hands,no_made,monotone,no_draw,0.0002,1536,0.0001,0.10455,0.10445,LOW,MED
trash_hands,no_made,monotone,oesd,0.0002,156,0.0,0.1882,0.1882,LOW,MED
trash_hands,no_made,paired,flush_draw,0.0006,92,0.0001,0.001425,0.001325,LOW,HIGH
trash_hands,no_made,paired,gutshot,0.0006,172,0.0001,0.0007,0.0006,LOW,HIGH
