spot_id,n,primary_size_pot,board_family,street,family,low_bet_freq,mid_bet_freq,high_bet_freq,polar_score,linear_score,spot_type,size_bucket
BTN_BB_KJT_fd,6515,1.088,dynamic_2tone,flop,,0.3874448867115738,0.2823756756756757,0.49814963099631,0.10506921103589811,0.1107047442847362,polarized,big (≥85%)
BTN_BB_KJT_rain,6515,1.088,dynamic,flop,,0.4186660527931246,0.302624479844149,0.5198255227552275,0.1160415729489756,0.10115946996210295,polarized,big (≥85%)
BTN_BB_KK8_rain,6508,0.336,paired,flop,,0.531522699386503,0.3844324615932518,0.5969295636140135,0.1470902377932512,0.06540686422751052,polarized,small (≤45%)
BTN_BB_Q83_fd,6545,0.336,dry_high,flop,,0.5778005494505495,0.46388478519571674,0.6318316595223514,0.11391576425483274,0.05403111007180195,polarized,small (≤45%)
BTN_BB_Q83_rain,6544,0.336,dry_high,flop,,0.6033399755501223,0.48445967275925816,0.6508166053921569,0.11888030279086415,0.0474766298420346,polarized,small (≤45%)
BTN_BB_T74_fd,6543,1.088,low_dry,flop,,0.47367982885085574,0.378547342735373,0.6408621936274509,0.09513248611548275,0.16718236477659515,linear,big (≥85%)
BTN_BB_T74_rain,6542,1.088,low_dry,flop,,0.45347951219512195,0.31720466828665556,0.5965281173594131,0.1362748439084664,0.1430486051642912,polarized,big (≥85%)
BTN_BB_T98_fd,6524,0.336,dynamic_2tone,flop,,0.4513057598039215,0.38615108581289537,0.6311970497848801,0.06515467399102615,0.1798912899809586,linear,small (≤45%)
BTN_BB_T98_rain,6524,1.088,dynamic,flop,,0.37889993872549016,0.334102588573886,0.5680088957055215,0.04479735015160419,0.18910895698003133,linear,big (≥85%)
CO_BB_742_fd,2842,1.15,low_dry,flop,,0.550414606741573,0.39916316901408455,0.687780985915493,0.1512514377274885,0.13736637917391992,polarized,big (≥85%)
CO_BB_742_rain,2842,1.15,low_dry,flop,,0.5507153089887641,0.37908605633802817,0.6868894366197184,0.17162925265073592,0.13617412763095427,polarized,big (≥85%)
CO_BB_765_fd,2829,0.336,dynamic_2tone,flop,,0.4208685472496474,0.3593070014144272,0.6262807365439094,0.06156154583522022,0.20541218929426197,linear,small (≤45%)
